Product Name,Product URL,Product Price,Product Rating,Product Reviews
Comfort Wandrer M,https://www.amazon.in/Reebok-Gravel-Comfort-Wandrer-Walking/dp/B09N6Q2KJC/ref=sr_1_18?keywords=men+sports+shoes&qid=1685080856&sr=8-18,"₹1,670",3.9 out of 5 stars,14
Men's Sx0687g Running Shoe,https://www.amazon.in/Sparx-SM-687-Forest-Golden-SX0687GGFGO_0009/dp/B098B9JVBK/ref=sr_1_19?keywords=men+sports+shoes&qid=1685080856&sr=8-19,"₹1,243",3.9 out of 5 stars,404
"Black Sports Shoes for Men- Lace-Up Shoes, Perfect Walking & Running Shoes for Men",https://www.amazon.in/Red-Tape-Lace-Up-Perfect-Walking/dp/B0BVBL6FMS/ref=sr_1_20?keywords=men+sports+shoes&qid=1685080856&sr=8-20,"₹1,473",4.1 out of 5 stars,7
"Men's Newton-09 Sports Running,Walking & Gym Shoes with SoleFlex Technology Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfbXRmOjIwMTQzNjYyMzg4Nzk4OjowOjo&url=%2FASIAN-Newton-09-Running-SoleFlex-Technology%2Fdp%2FB0B7S525WW%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹539,3.9 out of 5 stars,198
Mens Hattrick-27 Loafer,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfbXRmOjIwMTQ2NTU4OTc5Njk4OjowOjo&url=%2FASIAN-Hattrick-27-Running-Sneakers-Lightweight%2Fdp%2FB09SY328JM%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹704,3.8 out of 5 stars,684
"Sneaker Casual Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfbXRmOjIwMTQxNDcxMjU0OTk4OjowOjo&url=%2FRed-Tape-Slip-Resistance-Absorption-RSO2771%2Fdp%2FB0BWRBTVHH%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹1,517",4.0 out of 5 stars,217
"Men's Cosco-13 Sports Running,Walking & Gym, School Shoes Lightweight Eva Sole Extra Jump Casual Sneaker Lace-Up Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfbXRmOjIwMTQ2NTY3OTA4Mzk4OjowOjo&url=%2FASIAN-Wonder-13-Running-Walking-Lightweight%2Fdp%2FB0BC1ZMRHZ%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,₹614,3.8 out of 5 stars,"3,629"
Mens Sx0707g Sneaker,https://www.amazon.in/Sparx-SM-707-Turkey-Sports-SX0707G_TBRD_0008/dp/B09HTH6Z46/ref=sr_1_25?keywords=men+sports+shoes&qid=1685080856&sr=8-25,₹734,3.8 out of 5 stars,48
"Exclusive Trendy, Casual, Sports Shoes for Men, Running Shoes for Men",https://www.amazon.in/BRUTON-Exclusive-Trendy-Running-Shoes/dp/B0B2JLGKPT/ref=sr_1_26?keywords=men+sports+shoes&qid=1685080856&sr=8-26,₹279,2.9 out of 5 stars,366
Men's Altas & Radcliff Sports Running Shoe,https://www.amazon.in/Puma-Radcliff-Puma-Black-Running-India-8/dp/B0BG2ZVVJX/ref=sr_1_27?keywords=men+sports+shoes&qid=1685080856&sr=8-27,"₹2,699",3.7 out of 5 stars,749
Mens Pacer Fire Sneaker,https://www.amazon.in/Puma-Pacer-Peacoat-High-Sneaker-9-38046901/dp/B08QVJ9H7V/ref=sr_1_28?keywords=men+sports+shoes&qid=1685080856&sr=8-28,"₹1,755",3.9 out of 5 stars,"1,218"
Men's CESTER (N) Running Shoes,https://www.amazon.in/Campus-Mens-CESTER-Running-Shoes/dp/B094D8J6S8/ref=sr_1_29?keywords=men+sports+shoes&qid=1685080856&sr=8-29,₹649,3.9 out of 5 stars,917
"Men's Bouncer-05 Sports Running Shoes Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym",https://www.amazon.in/ASIAN-Mens-Grey-Running-Shoes/dp/B08H11GQFD/ref=sr_1_30?keywords=men+sports+shoes&qid=1685080856&sr=8-30,₹514,3.6 out of 5 stars,"1,730"
Men's Running Shoes,https://www.amazon.in/Sparx-Mens-Orange-Running-Shoes/dp/B078KTZFN7/ref=sr_1_31?keywords=men+sports+shoes&qid=1685080856&sr=8-31,₹879,4.0 out of 5 stars,"15,837"
Mens Sm-375 Sneaker,https://www.amazon.in/Sparx-Trending-Footwear-Outdoor-Official/dp/B09HKXMLRR/ref=sr_1_32?keywords=men+sports+shoes&qid=1685080856&sr=8-32,₹846,4.0 out of 5 stars,173
Men's North Plus Running Shoes,https://www.amazon.in/Campus-Mens-Black-Running-Shoes/dp/B08PS2B19R/ref=sr_1_33?keywords=men+sports+shoes&qid=1685080856&sr=8-33,"₹1,329",3.9 out of 5 stars,"7,773"
"Men's Waterproof-15 Sports Running,Walking & Gym Shoes with Sole Flex Technology Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/ASIAN-Waterproof-15-Running-Walking-Technology/dp/B0B6SKN8QY/ref=sr_1_34?keywords=men+sports+shoes&qid=1685080856&sr=8-34,₹599,3.6 out of 5 stars,327
Mens Sm-680 Running Shoe,https://www.amazon.in/Sparx-Arrival-Running-Gymming-Footwear/dp/B09TPQRS61/ref=sr_1_35?keywords=men+sports+shoes&qid=1685080856&sr=8-35,"₹1,139",3.9 out of 5 stars,173
Men Olive Walking Shoes,https://www.amazon.in/Red-Tape-Grey-Walking-Shoes-9/dp/B0BCWRLWDD/ref=sr_1_36?keywords=men+sports+shoes&qid=1685080856&sr=8-36,"₹1,517",3.7 out of 5 stars,93
Men's Sm-705 Running Shoe,https://www.amazon.in/Sparx-SM-705-Golden-Sports-SX0705GWHGO0008/dp/B09TWB5N96/ref=sr_1_37?keywords=men+sports+shoes&qid=1685080856&sr=8-37,₹974,4.0 out of 5 stars,254
Men's Crysta Running Shoes,https://www.amazon.in/Campus-Crysta-PRO-Running-Shoes/dp/B09RBFK5ZL/ref=sr_1_38?keywords=men+sports+shoes&qid=1685080856&sr=8-38,₹714,3.9 out of 5 stars,"18,931"
